id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
62,COM00128.00,2007,F.lig,,27230516.6,,,filled,
62,COM00128.00,2008,F.lig,,24551554.6,,,filled,
62,COM00128.00,2009,F.lig,,21788223.6,,,filled,
62,COM00128.00,2010,F.lig,,19441297.6,,,filled,
62,COM00128.00,2011,F.lig,,16814953.6,,,filled,
62,COM00128.00,2012,F.lig,,14162300.600000001,,,filled,
62,COM00128.00,2013,F.lig,,12063039.600000001,,,filled,
62,COM00128.00,2014,F.lig,,9814997.600000001,,,filled,
62,COM00128.00,2015,F.lig,,7307496.600000001,,,filled,
62,COM00128.00,2016,F.lig,,5372438.600000001,,,filled,
62,COM00128.00,2017,F.lig,,4570473.600000001,,,,
63,COM00130.00,2004,O.Au,Me.Au,6850000.0,,,filled,
63,COM00130.00,2005,O.Au,Me.Au,4300000.0,2.8349523130000005,0.8504856939000002,,
63,COM00130.00,2006,O.Au,Me.Au,2009091.0,,,filled,
64,COM00133.00,2018,O.bulk,Me.Ag,619000000.0,,,,
65,COM00133.00,2018,O.bulk,Me.Au,619000000.0,,,,
66,COM00133.00,2018,O.bulk,Me.Cu,619000000.0,,,,
67,COM00133.00,2018,O.bulk,Me.Mo,619000000.0,,,,
68,COM00134.00,2009,F.coal,,163400000.0,,,filled,
68,COM00134.00,2010,F.coal,,159100000.0,,,filled,
68,COM00134.00,2011,F.coal,,154900000.0,,,filled,
68,COM00134.00,2012,F.coal,,150300000.0,,,filled,
68,COM00134.00,2013,F.coal,,144900000.0,,,filled,
68,COM00134.00,2014,F.coal,,136900000.0,,,filled,
68,COM00134.00,2015,F.coal,,127600000.0,,,filled,
68,COM00134.00,2016,F.coal,,115400000.0,,,filled,
68,COM00134.00,2017,F.coal,,102600000.0,,,filled,
68,COM00134.00,2018,F.coal,,90100000.0,,,filled,
68,COM00134.00,2019,F.coal,,77000000.0,,,,
69,COM00135.00,2003,F.coal,,25299987.0,,,filled,
69,COM00135.00,2004,F.coal,,22889069.0,,,filled,
69,COM00135.00,2005,F.coal,,20428682.0,,,filled,
69,COM00135.00,2006,F.coal,,17919036.0,,,filled,
69,COM00135.00,2007,F.coal,,15153165.0,,,filled,
69,COM00135.00,2008,F.coal,,12188435.0,,,filled,
69,COM00135.00,2009,F.coal,,9254081.0,,,filled,
69,COM00135.00,2010,F.coal,,6985440.0,,,,
70,COM00139.00,2003,O.bulk,Me.Cu,15951500.0,,,filled,
70,COM00139.00,2004,O.bulk,Me.Cu,14450500.0,,,filled,
70,COM00139.00,2005,O.bulk,Me.Cu,12932500.0,,,filled,
70,COM00139.00,2006,O.bulk,Me.Cu,11519500.0,,,filled,
70,COM00139.00,2007,O.bulk,Me.Cu,9965000.0,,,filled,
70,COM00139.00,2008,O.bulk,Me.Cu,8899800.0,,,filled,
70,COM00139.00,2009,O.bulk,Me.Cu,7700000.0,,,,
71,COM00139.00,2009,O.bulk,Me.Pb,7700000.0,,,,
72,COM00139.00,2009,O.bulk,Me.Zn,7700000.0,,,,
70,COM00139.00,2010,O.bulk,Me.Cu,6321000.0,,,filled,
70,COM00139.00,2011,O.bulk,Me.Cu,5941244.0,,,filled,
70,COM00139.00,2012,O.bulk,Me.Cu,4507156.0,,,filled,
70,COM00139.00,2013,O.bulk,Me.Cu,2988616.0,,,filled,
70,COM00139.00,2014,O.bulk,Me.Cu,1593082.0,,,filled,
70,COM00139.00,2015,O.bulk,Me.Cu,155520.0,,,filled,
70,COM00139.00,2016,O.bulk,Me.Cu,-1424113.0,,,filled,
70,COM00139.00,2017,O.bulk,Me.Cu,-3014713.0,,,filled,
70,COM00139.00,2018,O.bulk,Me.Cu,-4620605.0,,,filled,
73,COM00139.00,2019,O.bulk,Me.Ag,7700000.0,,,,
74,COM00139.00,2019,O.bulk,Me.Pb,61400000.0,,,,
75,COM00139.00,2019,O.bulk,Me.Zn,61400000.0,,,,
76,COM00140.00,2005,O.Mn,Me.Mn,334174000.0,,,filled,
76,COM00140.00,2006,O.Mn,Me.Mn,332292000.0,,,filled,
76,COM00140.00,2007,O.Mn,Me.Mn,329720000.0,,,filled,
76,COM00140.00,2008,O.Mn,Me.Mn,326873000.0,,,filled,
76,COM00140.00,2009,O.Mn,Me.Mn,323719000.0,,,filled,
76,COM00140.00,2010,O.Mn,Me.Mn,320581000.0,,,filled,
76,COM00140.00,2011,O.Mn,Me.Mn,318608000.0,,,filled,
76,COM00140.00,2012,O.Mn,Me.Mn,315560000.0,,,filled,
76,COM00140.00,2013,O.Mn,Me.Mn,312264000.0,,,filled,
76,COM00140.00,2014,O.Mn,Me.Mn,309065000.0,,,filled,
76,COM00140.00,2015,O.Mn,Me.Mn,305707000.0,,,filled,
76,COM00140.00,2016,O.Mn,Me.Mn,302620000.0,,,filled,
76,COM00140.00,2017,O.Mn,Me.Mn,299686000.0,,,filled,
76,COM00140.00,2018,O.Mn,Me.Mn,296617000.0,,,filled,
76,COM00140.00,2019,O.Mn,Me.Mn,292900000.0,,,,
77,COM00141.00,2000,F.stc,,1815448640.0,,,filled,
77,COM00141.00,2001,F.stc,,1760925920.0,,,filled,
77,COM00141.00,2002,F.stc,,1734313920.0,,,filled,
77,COM00141.00,2003,F.stc,,1705529920.0,,,filled,
77,COM00141.00,2004,F.stc,,1673111920.0,,,filled,
77,COM00141.00,2005,F.stc,,1638132920.0,,,filled,
77,COM00141.00,2006,F.stc,,1604309920.0,,,filled,
77,COM00141.00,2007,F.stc,,1568051920.0,,,filled,
77,COM00141.00,2008,F.stc,,1533486920.0,,,filled,
77,COM00141.00,2009,F.stc,,1453199720.0,,,filled,
77,COM00141.00,2010,F.stc,,1426662720.0,,,filled,
77,COM00141.00,2011,F.stc,,1321246080.0,,,filled,
77,COM00141.00,2012,F.stc,,1226080800.0,,,filled,
77,COM00141.00,2013,F.stc,,1141801920.0,,,filled,
77,COM00141.00,2014,F.stc,,1050446880.0,,,filled,
77,COM00141.00,2015,F.stc,,958638240.0,,,filled,
77,COM00141.00,2016,F.stc,,868371840.0,,,filled,
77,COM00141.00,2017,F.stc,,806772960.0,,,filled,
77,COM00141.00,2018,F.stc,,742815360.0,,,filled,
77,COM00141.00,2019,F.stc,,678313440.0,,,,
78,COM00143.00,2000,F.coal,,475568000.0,,,filled,
78,COM00143.00,2001,F.coal,,468474000.0,,,filled,
78,COM00143.00,2002,F.coal,,459818000.0,,,filled,
78,COM00143.00,2003,F.coal,,445744000.0,,,filled,
78,COM00143.00,2004,F.coal,,432062000.0,,,filled,
78,COM00143.00,2019,F.coal,,419000000.0,,,,
79,COM00144.00,2001,F.stc,,75877920.0,,,filled,
79,COM00144.00,2002,F.stc,,65285920.0,,,filled,
79,COM00144.00,2003,F.stc,,53476920.0,,,filled,
79,COM00144.00,2010,F.stc,,40996920.0,,,filled,
79,COM00144.00,2011,F.stc,,34193920.0,,,filled,
79,COM00144.00,2012,F.stc,,31308920.0,,,filled,
79,COM00144.00,2018,F.stc,,28721920.0,,,filled,
79,COM00144.00,2019,F.stc,,27147000.0,,,filled,
79,COM00144.00,2020,F.stc,,24500000.0,,,,
80,COM00145.00,2018,O.Au,Me.Au,15300000.0,59.50564904987001,4.3,,
81,COM00150.00,2006,O.Al,Me.Al2O3,10168754.0,,,filled,
81,COM00150.00,2007,O.Al,Me.Al2O3,10102933.0,,,filled,
81,COM00150.00,2008,O.Al,Me.Al2O3,9770983.0,,,filled,
81,COM00150.00,2009,O.Al,Me.Al2O3,9250874.0,,,filled,
81,COM00150.00,2010,O.Al,Me.Al2O3,8950624.0,,,filled,
81,COM00150.00,2011,O.Al,Me.Al2O3,8650624.0,,,filled,
81,COM00150.00,2012,O.Al,Me.Al2O3,8144516.0,,,filled,
81,COM00150.00,2013,O.Al,Me.Al2O3,7259255.0,,,filled,
81,COM00150.00,2014,O.Al,Me.Al2O3,6553385.0,,,filled,
81,COM00150.00,2015,O.Al,Me.Al2O3,6081230.0,,,filled,
81,COM00150.00,2016,O.Al,Me.Al2O3,5220520.0,,,filled,
81,COM00150.00,2017,O.Al,Me.Al2O3,4187220.0,,,filled,
81,COM00150.00,2018,O.Al,Me.Al2O3,3121920.0,,,filled,
81,COM00150.00,2019,O.Al,Me.Al2O3,2540000.0,,,,
